# x_m, y_m, w_tr_right_m, w_tr_left_m
-38.896489847535804, -7.985406028035015, 10.0, 10.0
-38.506757241587316, -7.57266965669856, 10.0, 10.0
-38.117327285750235, -7.1596477131409415, 10.0, 10.0
-37.7281962189907, -6.746344157329998, 10.0, 10.0
-37.25670937140714, -6.430206578230173, 10.0, 10.0
-36.72234140203357, -6.238650608156286, 10.0, 10.0
-36.15664145884638, -6.1914659640292715, 10.0, 10.0
-35.59828862548721, -6.293861910448896, 10.0, 10.0
-35.083927367058614, -6.534018759593647, 10.0, 10.0
-34.523999242257624, -6.627417428857325, 10.0, 10.0
-33.95837487466211, -6.579335299686898, 10.0, 10.0
-33.41674953702028, -6.409379982065605, 10.0, 10.0
-32.915757633900654, -6.142453158063302, 10.0, 10.0
-32.4615617731531, -5.801940402879052, 10.0, 10.0
-32.054013860684506, -5.406785350518738, 10.0, 10.0
-31.68998882004112, -4.971206900468741, 10.0, 10.0
-31.36539508640508, -4.50550128052455, 10.0, 10.0
-31.076186122881538, -4.017033275655229, 10.0, 10.0
-30.818788522375275, -3.5110794322890513, 10.0, 10.0
-30.59023560809185, -2.9914580492264067, 10.0, 10.0
-30.388169631148436, -2.4609751019742934, 10.0, 10.0
-30.21079516371408, -1.9217338622070088, 10.0, 10.0
-30.0568224869716, -1.3753500857456857, 10.0, 10.0
-29.925417916793744, -0.823104075982144, 10.0, 10.0
-29.631809518657168, -0.33726776104978173, 10.0, 10.0
-29.20398782094336, 0.03584269354598746, 10.0, 10.0
-28.68273828976323, 0.26065760098736634, 10.0, 10.0
-28.117753133816976, 0.315744713125946, 10.0, 10.0
-27.56289400400764, 0.19585241799982214, 10.0, 10.0
-27.020118472079844, 0.02960700211149856, 10.0, 10.0
-26.478109191503997, -0.13911986632693926, 10.0, 10.0
-25.936156968235892, -0.3080299135655139, 10.0, 10.0
-25.394204744967784, -0.4769399608040885, 10.0, 10.0
-24.85225252169968, -0.6458500080426632, 10.0, 10.0
-24.31030029843156, -0.8147600552812378, 10.0, 10.0
-23.768348075163455, -0.9836701025198068, 10.0, 10.0
-23.226395851895347, -1.1525801497583872, 10.0, 10.0
-22.684443628627243, -1.3214901969969561, 10.0, 10.0
-22.142491405359138, -1.4904002442355306, 10.0, 10.0
-21.60053918209102, -1.6593102914741054, 10.0, 10.0
-21.058586958822914, -1.82822033871268, 10.0, 10.0
-20.516634735554806, -1.9971303859512546, 10.0, 10.0
-19.97468251228669, -2.166040433189829, 10.0, 10.0
-19.432730289018583, -2.334950480428404, 10.0, 10.0
-18.890778065750478, -2.5038605276669785, 10.0, 10.0
-18.34882584248236, -2.6727705749055533, 10.0, 10.0
-17.806873619214254, -2.841680622144122, 10.0, 10.0
-17.264921395946146, -3.0105906693827027, 10.0, 10.0
-16.72296917267804, -3.1795007166212716, 10.0, 10.0
-16.181016949409933, -3.348410763859846, 10.0, 10.0
-15.639064726141818, -3.5173208110984207, 10.0, 10.0
